Date,Store,DayOfWeek,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
2013-01-01,1,2,0,0,0,0,a,1
2013-01-02,1,3,5530,668,1,0,0,1
2013-01-03,1,4,4327,578,1,0,0,1
2013-01-04,1,5,4486,619,1,0,0,1
2013-01-05,1,6,4997,635,1,0,0,1
2013-01-06,1,7,0,0,0,0,0,1
2013-01-07,1,1,7176,785,1,1,0,1
2013-01-08,1,2,5580,654,1,1,0,1
2013-01-09,1,3,5471,626,1,1,0,1
2013-01-10,1,4,4892,615,1,1,0,1
2013-01-11,1,5,4881,592,1,1,0,1
2013-01-12,1,6,4952,646,1,0,0,0
2013-01-13,1,7,0,0,0,0,0,0
2013-01-14,1,1,4717,616,1,0,0,0
2013-01-15,1,2,3900,512,1,0,0,0
2013-01-16,1,3,4008,530,1,0,0,0
2013-01-17,1,4,4044,503,1,0,0,0
2013-01-18,1,5,4127,568,1,0,0,0
2013-01-19,1,6,5182,688,1,0,0,0
2013-01-20,1,7,0,0,0,0,0,0
2013-01-21,1,1,5394,607,1,1,0,0
2013-01-22,1,2,5720,667,1,1,0,0
2013-01-23,1,3,5578,627,1,1,0,0
2013-01-24,1,4,5195,645,1,1,0,0
2013-01-25,1,5,5586,676,1,1,0,0
2013-01-26,1,6,5598,640,1,0,0,0
2013-01-27,1,7,0,0,0,0,0,0
2013-01-28,1,1,4055,549,1,0,0,0
2013-01-29,1,2,3725,522,1,0,0,0
2013-01-30,1,3,4601,560,1,0,0,0
2013-01-31,1,4,4709,571,1,0,0,0
2013-02-01,1,5,5633,658,1,0,0,0
2013-02-02,1,6,5970,701,1,0,0,0
2013-02-03,1,7,0,0,0,0,0,0
2013-02-04,1,1,7032,762,1,1,0,0
2013-02-05,1,2,6049,678,1,1,0,0
2013-02-06,1,3,6140,693,1,1,0,0
2013-02-07,1,4,5499,675,1,1,0,0
2013-02-08,1,5,5681,630,1,1,0,0
2013-02-09,1,6,5370,656,1,0,0,0
2013-02-10,1,7,0,0,0,0,0,0
2013-02-11,1,1,4409,599,1,0,0,0
2013-02-12,1,2,4015,572,1,0,0,0
2013-02-13,1,3,4252,604,1,0,0,0
2013-02-14,1,4,4241,573,1,0,0,0
2013-02-15,1,5,4809,607,1,0,0,0
2013-02-16,1,6,6154,682,1,0,0,0
2013-02-17,1,7,0,0,0,0,0,0
2013-02-18,1,1,6407,710,1,1,0,0
2013-02-19,1,2,5386,608,1,1,0,0
2013-02-20,1,3,5660,684,1,1,0,0
2013-02-21,1,4,5261,629,1,1,0,0
2013-02-22,1,5,5000,599,1,1,0,0
2013-02-23,1,6,5237,650,1,0,0,0
2013-02-24,1,7,0,0,0,0,0,0
2013-02-25,1,1,4038,534,1,0,0,0
2013-02-26,1,2,3794,525,1,0,0,0
2013-02-27,1,3,4558,579,1,0,0,0
2013-02-28,1,4,4676,581,1,0,0,0
2013-03-01,1,5,4611,584,1,0,0,0
2013-03-02,1,6,5350,678,1,0,0,0
2013-03-03,1,7,0,0,0,0,0,0
2013-03-04,1,1,7675,840,1,1,0,0
2013-03-05,1,2,6300,715,1,1,0,0
2013-03-06,1,3,5973,678,1,1,0,0
2013-03-07,1,4,5637,702,1,1,0,0
